title,runtime_minutes,genres,averagerating,domestic_gross,foreign_gross,year,global_sales
Baggage Claim,96.0,Comedy,5.1,21600000.0,887000.0,2013,22487000.0
The Company Men,104.0,Drama,6.8,4400000.0,441000.0,2011,4841000.0
All Good Things,101.0,"Crime,Drama,Mystery",6.3,582000.0,62500.0,2010,644500.0
A Walk in the Woods,104.0,"Adventure,Biography,Comedy",6.3,29500000.0,8000000.0,2015,37500000.0
From Paris with Love,92.0,"Action,Crime,Thriller",6.5,24100000.0,28700000.0,2010,52800000.0
10 Cloverfield Lane,103.0,"Drama,Horror,Mystery",7.2,72100000.0,38100000.0,2016,110200000.0
Black Death,102.0,"Action,Adventure,Drama",6.4,22600.0,243000.0,2011,265600.0
You Will Meet a Tall Dark Stranger,98.0,"Comedy,Drama,Romance",6.3,3200000.0,31000000.0,2010,34200000.0
Welcome to the Rileys,110.0,Drama,7.0,159000.0,158000.0,2010,317000.0
When in Rome,91.0,"Comedy,Romance",5.6,32700000.0,10400000.0,2010,43100000.0
The Skin I Live In,120.0,"Drama,Horror,Thriller",7.6,3200000.0,27700000.0,2011,30900000.0
The Lincoln Lawyer,118.0,"Crime,Drama,Thriller",7.3,58000000.0,17000000.0,2011,75000000.0
Rango,107.0,"Adventure,Animation,Comedy",7.2,123500000.0,122200000.0,2011,245700000.0
The Bourne Legacy,135.0,"Action,Adventure,Thriller",6.7,113200000.0,162900000.0,2012,276100000.0
Casino Jack,108.0,"Biography,Comedy,Crime",6.2,1000000.0,40700.0,2010,1040700.0
The Five-Year Engagement,124.0,"Comedy,Romance",6.2,28800000.0,25100000.0,2012,53900000.0
Diary of a Wimpy Kid,94.0,"Comedy,Drama,Family",6.2,64000000.0,11700000.0,2010,75700000.0
Inhale,83.0,"Drama,Thriller",6.6,4100.0,51000.0,2010,55100.0
One Chance,103.0,"Biography,Comedy,Drama",6.8,101000.0,10800000.0,2014,10901000.0
Kites,123.0,"Action,Drama,Romance",6.1,1600000.0,1300000.0,2010,2900000.0
The Muppets,103.0,"Adventure,Comedy,Family",7.1,88600000.0,76600000.0,2011,165200000.0
Last Vegas,105.0,"Comedy,Drama",6.6,63900000.0,70500000.0,2013,134400000.0
Ouija,89.0,"Horror,Mystery,Thriller",4.5,50900000.0,52700000.0,2014,103600000.0
Jack Ryan: Shadow Recruit,105.0,"Action,Drama,Thriller",6.2,50600000.0,84900000.0,2014,135500000.0
Out of the Furnace,116.0,"Crime,Drama,Thriller",6.8,11300000.0,4300000.0,2013,15600000.0
Moneyball,133.0,"Biography,Drama,Sport",7.6,75600000.0,34600000.0,2011,110200000.0
The Lone Ranger,150.0,"Action,Adventure,Western",6.4,89300000.0,171200000.0,2013,260500000.0
Doctor Strange,115.0,"Action,Adventure,Fantasy",7.5,232600000.0,445100000.0,2016,677700000.0
Escape Plan,115.0,"Action,Crime,Mystery",6.7,25100000.0,112200000.0,2013,137300000.0
Hereafter,129.0,"Drama,Fantasy,Romance",6.5,32700000.0,72500000.0,2010,105200000.0
The Lost City of Z,141.0,"Adventure,Biography,Drama",6.6,8600000.0,10700000.0,2017,19300000.0
Lawless,116.0,"Crime,Drama",7.3,37400000.0,16300000.0,2012,53700000.0
Alpha and Omega,90.0,"Adventure,Animation,Comedy",5.3,25100000.0,25400000.0,2010,50500000.0
First Man,141.0,"Biography,Drama,History",7.4,44900000.0,60800000.0,2018,105700000.0
First Man,92.0,Documentary,6.6,44900000.0,60800000.0,2018,105700000.0
London Boulevard,103.0,"Crime,Drama",6.2,16100.0,4600000.0,2011,4616100.0
The World's End,109.0,"Action,Comedy,Sci-Fi",7.0,26000000.0,20100000.0,2013,46100000.0
Seeking Justice,105.0,"Action,Crime,Drama",6.2,412000.0,11900000.0,2012,12312000.0
Cars 2,106.0,"Adventure,Animation,Comedy",6.2,191500000.0,370700000.0,2011,562200000.0
Leap Year,100.0,"Comedy,Romance",6.5,25900000.0,6700000.0,2010,32600000.0
Leap Year,94.0,"Drama,Romance",5.9,25900000.0,6700000.0,2010,32600000.0
Brave,93.0,"Adventure,Animation,Comedy",7.1,237300000.0,303200000.0,2012,540500000.0
Limitless,105.0,"Mystery,Sci-Fi,Thriller",7.4,79200000.0,82600000.0,2011,161800000.0
